,experiment,mesh_size,num_points,cuda,omp_threads,n_timesteps,mpts
0,heat,"(20, 20, 20)",8000,True,8,200,38.26195088122056
1,heat,"(30, 30, 30)",27000,True,8,200,123.60373557956419
2,heat,"(60, 60, 60)",216000,True,8,200,587.3156141662702
3,heat,"(100, 100, 100)",1000000,True,8,200,1176.982921977802
4,heat,"(150, 150, 150)",3375000,True,8,200,1356.1978240559356
5,heat,"(200, 200, 200)",8000000,True,8,200,1486.758096094751
6,heat,"(250, 250, 250)",15625000,True,8,200,385.1466262449634
7,heat,"(300, 300, 300)",27000000,True,8,200,390.8480468925011
8,heat,"(350, 350, 350)",42875000,True,8,200,383.1062946397018
9,heat,"(400, 400, 400)",64000000,True,8,200,390.75965753335163
10,heat,"(450, 450, 450)",91125000,True,8,200,372.16486946600537
11,wave,"(20, 20, 20)",8000,True,8,200,36.57560864098755
12,wave,"(30, 30, 30)",27000,True,8,200,119.07649562283622
13,wave,"(60, 60, 60)",216000,True,8,200,669.2590125331144
14,wave,"(100, 100, 100)",1000000,True,8,200,1486.381033778009
15,wave,"(150, 150, 150)",3375000,True,8,200,1935.6725816997211
16,wave,"(200, 200, 200)",8000000,True,8,200,2072.308007139101
17,wave,"(250, 250, 250)",15625000,True,8,200,709.5966992967612
18,wave,"(300, 300, 300)",27000000,True,8,200,718.9301361001316
19,wave,"(350, 350, 350)",42875000,True,8,200,741.0909204046745
20,wave,"(400, 400, 400)",64000000,True,8,200,736.675172003581
21,wave,"(450, 450, 450)",91125000,True,8,200,734.42738902782
