,experiment,mesh_size,num_points,cuda,omp_threads,n_timesteps,mpts
0,euler,"(20, 20, 20)",8000,True,8,200,2.8970444714432895
1,euler,"(30, 30, 30)",27000,True,8,200,8.997795540092676
2,euler,"(60, 60, 60)",216000,True,8,200,45.626219867683965
3,euler,"(100, 100, 100)",1000000,True,8,200,74.56251377076426
4,euler,"(150, 150, 150)",3375000,True,8,200,89.61178977844115
5,euler,"(200, 200, 200)",8000000,True,8,200,93.16838181893564
6,euler,"(250, 250, 250)",15625000,True,8,200,67.43705172029114
7,euler,"(300, 300, 300)",27000000,True,8,200,67.61063466202923
8,euler,"(350, 350, 350)",42875000,True,8,200,67.36702975858995
9,euler,"(400, 400, 400)",64000000,True,8,200,67.50102717578697
10,heat,"(20, 20, 20)",8000,True,8,200,42.22972972972973
11,heat,"(30, 30, 30)",27000,True,8,200,141.82161991805864
12,heat,"(60, 60, 60)",216000,True,8,200,997.4371406801966
13,heat,"(100, 100, 100)",1000000,True,8,200,3089.232480190296
14,heat,"(150, 150, 150)",3375000,True,8,200,4656.553322709493
15,heat,"(200, 200, 200)",8000000,True,8,200,4959.564054319626
16,heat,"(250, 250, 250)",15625000,True,8,200,4923.516131014371
17,heat,"(300, 300, 300)",27000000,True,8,200,4991.205311381888
18,heat,"(350, 350, 350)",42875000,True,8,200,4962.082743814756
19,heat,"(400, 400, 400)",64000000,True,8,200,4971.026295564019
20,heat,"(450, 450, 450)",91125000,True,8,200,4916.568065534818
