,experiment,mesh_size,num_points,cuda,omp_threads,n_timesteps,mpts
0,euler,"(20, 20, 20)",8000,True,8,200,5.9535769834713825
1,euler,"(30, 30, 30)",27000,True,8,200,11.61897507729846
2,euler,"(60, 60, 60)",216000,True,8,200,16.95873374788016
3,euler,"(100, 100, 50)",500000,True,8,200,17.65471266072409
4,euler,"(20, 20, 20)",8000,False,8,200,0.49837840127684546
5,euler,"(30, 30, 30)",27000,False,8,200,0.4362468103491316
6,euler,"(60, 60, 60)",216000,False,8,200,0.38870487691992994
7,euler,"(100, 100, 50)",500000,False,8,200,0.3711346961602263
8,heat,"(30, 30, 30)",27000,True,8,200,108.98082744702322
9,heat,"(50, 50, 50)",125000,True,8,200,189.8844742858445
10,heat,"(70, 70, 70)",343000,True,8,200,202.3198954778849
11,heat,"(100, 100, 100)",1000000,True,8,200,236.55621462745353
12,heat,"(30, 30, 30)",27000,False,8,200,26.864602403884422
13,heat,"(50, 50, 50)",125000,False,8,200,20.723447254267576
14,heat,"(70, 70, 70)",343000,False,8,200,24.46095856292225
15,heat,"(100, 100, 100)",1000000,False,8,200,25.999393954126926
16,wave,"(30, 30, 30)",27000,True,8,200,97.16074705818848
17,wave,"(50, 50, 50)",125000,True,8,200,190.98986225811132
18,wave,"(70, 70, 70)",343000,True,8,200,212.13105122377354
19,wave,"(100, 100, 100)",1000000,True,8,200,308.3597880334817
20,wave,"(30, 30, 30)",27000,False,8,200,26.417623490159432
21,wave,"(50, 50, 50)",125000,False,8,200,21.0998241118662
22,wave,"(70, 70, 70)",343000,False,8,200,24.841301742150183
23,wave,"(100, 100, 100)",1000000,False,8,200,26.8298097967709
