experiment,mesh_size,num_points,cuda,omp_threads,n_timesteps,mpts
euler,"(20, 20, 20)",8000,True,8,200,2.857346953353811
euler,"(30, 30, 30)",27000,True,8,200,9.237053585174188
euler,"(60, 60, 60)",216000,True,8,200,36.32541517763296
euler,"(100, 100, 100)",1000000,True,8,200,54.08245465118574
euler,"(150, 150, 150)",3375000,True,8,200,64.65234232562808
euler,"(200, 200, 200)",8000000,True,8,200,66.53290779994387
euler,"(250, 250, 250)",15625000,True,8,200,40.82883181852923
euler,"(300, 300, 300)",27000000,True,8,200,41.52583480981387
euler,"(350, 350, 350)",42875000,True,8,200,41.274871864747496
euler,"(400, 400, 400)",64000000,True,8,200,0.0
wave,"(20, 20, 20)",8000,True,8,200,70.08936393902225
wave,"(30, 30, 30)",27000,True,8,200,301.1040481766477
wave,"(60, 60, 60)",216000,True,8,200,1542.8020427841861
wave,"(100, 100, 100)",1000000,True,8,200,2942.647794485478
wave,"(150, 150, 150)",3375000,True,8,200,3405.238518040197
wave,"(200, 200, 200)",8000000,True,8,200,3771.8679940498782
wave,"(250, 250, 250)",15625000,True,8,200,3799.175001550063
wave,"(300, 300, 300)",27000000,True,8,200,3899.8011101433826
wave,"(350, 350, 350)",42875000,True,8,200,3881.4393418165228
wave,"(400, 400, 400)",64000000,True,8,200,3932.667811236861
wave,"(450, 450, 450)",91125000,True,8,200,0.0
heat,"(20, 20, 20)",8000,True,8,200,106.234645773853
heat,"(30, 30, 30)",27000,True,8,200,387.23556830405164
heat,"(60, 60, 60)",216000,True,8,200,2043.7127448197557
heat,"(100, 100, 100)",1000000,True,8,200,3680.93643022785
heat,"(150, 150, 150)",3375000,True,8,200,4172.0491251058465
heat,"(200, 200, 200)",8000000,True,8,200,4558.1058791019395
heat,"(250, 250, 250)",15625000,True,8,200,4427.386609316071
heat,"(300, 300, 300)",27000000,True,8,200,4553.127408309288
heat,"(350, 350, 350)",42875000,True,8,200,4553.506757775744
heat,"(400, 400, 400)",64000000,True,8,200,4568.923822118946
heat,"(450, 450, 450)",91125000,True,8,200,4512.094641835002
maxwell,"(20, 20, 20)",8000,True,8,200,18.82773796495687
maxwell,"(30, 30, 30)",27000,True,8,200,52.13663660764284
maxwell,"(60, 60, 60)",216000,True,8,200,156.93625554453612
maxwell,"(100, 100, 100)",1000000,True,8,200,235.7417496281174
maxwell,"(150, 150, 150)",3375000,True,8,200,260.05046905399416
maxwell,"(200, 200, 200)",8000000,True,8,200,251.9012641507503
maxwell,"(250, 250, 250)",15625000,True,8,200,66.62086562100261
maxwell,"(300, 300, 300)",27000000,True,8,200,59.76260235853553
maxwell,"(350, 350, 350)",42875000,True,8,200,60.26211200634489
maxwell,"(400, 400, 400)",64000000,True,8,200,64.76007606070934
maxwell,"(450, 450, 450)",91125000,True,8,200,0.0
burgers,"(20, 20, 20)",8000,True,8,200,9.203547967741564
burgers,"(30, 30, 30)",27000,True,8,200,29.57364659492319
burgers,"(60, 60, 60)",216000,True,8,200,98.36715083646233
burgers,"(100, 100, 100)",1000000,True,8,200,130.3978176621236
burgers,"(150, 150, 150)",3375000,True,8,200,145.33212589250073
burgers,"(200, 200, 200)",8000000,True,8,200,151.1157251779199
burgers,"(250, 250, 250)",15625000,True,8,200,149.6105243080477
burgers,"(300, 300, 300)",27000000,True,8,200,151.4247173089809
burgers,"(350, 350, 350)",42875000,True,8,200,149.55566184423637
burgers,"(400, 400, 400)",64000000,True,8,200,149.27714989242833
burgers,"(450, 450, 450)",91125000,True,8,200,0.0
elastic_wave,"(20, 20, 20)",8000,True,8,200,8.149046052296503
elastic_wave,"(30, 30, 30)",27000,True,8,200,24.138501356673178
elastic_wave,"(60, 60, 60)",216000,True,8,200,77.54386972629885
elastic_wave,"(100, 100, 100)",1000000,True,8,200,112.85064104806646
elastic_wave,"(150, 150, 150)",3375000,True,8,200,131.88258581306786
elastic_wave,"(200, 200, 200)",8000000,True,8,200,129.59642054686452
elastic_wave,"(250, 250, 250)",15625000,True,8,200,40.513855181001254
elastic_wave,"(300, 300, 300)",27000000,True,8,200,40.157273134348486
elastic_wave,"(350, 350, 350)",42875000,True,8,200,39.9915261803605
elastic_wave,"(400, 400, 400)",64000000,True,8,200,39.27224998547003
navier_stokes,"(20, 20, 20)",8000,True,8,200,9.8161315852439
navier_stokes,"(30, 30, 30)",27000,True,8,200,28.510033948058943
navier_stokes,"(60, 60, 60)",216000,True,8,200,85.86915687221597
navier_stokes,"(100, 100, 100)",1000000,True,8,200,122.52409436315652
navier_stokes,"(150, 150, 150)",3375000,True,8,200,140.95830766499955
navier_stokes,"(200, 200, 200)",8000000,True,8,200,138.14867819776416
navier_stokes,"(250, 250, 250)",15625000,True,8,200,44.8663376526001
navier_stokes,"(300, 300, 300)",27000000,True,8,200,44.72658600701755
navier_stokes,"(350, 350, 350)",42875000,True,8,200,44.71211366498188
navier_stokes,"(400, 400, 400)",64000000,True,8,200,43.900753429531996
reaction_diffusion,"(20, 20, 3)",1200,True,8,200,5.216597474297389
reaction_diffusion,"(30, 30, 3)",2700,True,8,200,11.610656002064117
reaction_diffusion,"(60, 60, 3)",10800,True,8,200,46.61602209944751
reaction_diffusion,"(100, 100, 3)",30000,True,8,200,114.34887842808409
reaction_diffusion,"(150, 150, 3)",67500,True,8,200,223.32506203473946
reaction_diffusion,"(200, 200, 3)",120000,True,8,200,313.0380341211457
reaction_diffusion,"(250, 250, 3)",187500,True,8,200,337.3940582657046
reaction_diffusion,"(300, 300, 3)",270000,True,8,200,347.57757738428563
reaction_diffusion,"(350, 350, 3)",367500,True,8,200,399.35234286707816
reaction_diffusion,"(400, 400, 3)",480000,True,8,200,435.90989379237067
reaction_diffusion,"(450, 450, 3)",607500,True,8,200,489.8660226507598
phase_field,"(20, 20, 20)",8000,True,8,200,35.811007408402155
phase_field,"(30, 30, 30)",27000,True,8,200,108.92147568428908
phase_field,"(60, 60, 60)",216000,True,8,200,326.72570922924496
phase_field,"(100, 100, 100)",1000000,True,8,200,540.800709530531
phase_field,"(150, 150, 150)",3375000,True,8,200,620.4038415405869
phase_field,"(200, 200, 200)",8000000,True,8,200,595.235659377882
phase_field,"(250, 250, 250)",15625000,True,8,200,138.63716692531557
phase_field,"(300, 300, 300)",27000000,True,8,200,138.26051122336102
phase_field,"(350, 350, 350)",42875000,True,8,200,136.6611483718374
phase_field,"(400, 400, 400)",64000000,True,8,200,136.74369253693524
phase_field,"(450, 450, 450)",91125000,True,8,200,0.0
