experiment,mesh_size,num_points,cuda,omp_threads,n_timesteps,mpts
euler,"(20, 20, 20)",8000,True,8,200,11.34220861157189
euler,"(30, 30, 30)",27000,True,8,200,37.54066905814633
euler,"(60, 60, 60)",216000,True,8,200,156.3868837741368
euler,"(100, 100, 100)",1000000,True,8,200,252.90748770553475
euler,"(150, 150, 150)",3375000,True,8,200,295.6409386052318
euler,"(200, 200, 200)",8000000,True,8,200,310.2497801589449
euler,"(250, 250, 250)",15625000,True,8,200,301.74709152013423
euler,"(300, 300, 300)",27000000,True,8,200,303.4721428027507
euler,"(350, 350, 350)",42875000,True,8,200,298.9978185886264
euler,"(400, 400, 400)",64000000,True,8,200,0.0
wave,"(20, 20, 20)",8000,True,8,200,146.4396851546769
wave,"(30, 30, 30)",27000,True,8,200,401.6661707825052
wave,"(60, 60, 60)",216000,True,8,200,2690.9181512395667
wave,"(100, 100, 100)",1000000,True,8,200,5074.081591231987
wave,"(150, 150, 150)",3375000,True,8,200,5700.628335923248
wave,"(200, 200, 200)",8000000,True,8,200,6691.145105845551
wave,"(250, 250, 250)",15625000,True,8,200,5922.598741566219
wave,"(300, 300, 300)",27000000,True,8,200,6580.318268060231
wave,"(350, 350, 350)",42875000,True,8,200,6084.188135159086
wave,"(400, 400, 400)",64000000,True,8,200,6546.23972227578
wave,"(450, 450, 450)",91125000,True,8,200,5975.033702796414
heat,"(20, 20, 20)",8000,True,8,200,123.41869793273682
heat,"(30, 30, 30)",27000,True,8,200,431.03448275862075
heat,"(60, 60, 60)",216000,True,8,200,2502.751868373791
heat,"(100, 100, 100)",1000000,True,8,200,5059.192552868562
heat,"(150, 150, 150)",3375000,True,8,200,5470.459518599562
heat,"(200, 200, 200)",8000000,True,8,200,6371.1006872824855
heat,"(250, 250, 250)",15625000,True,8,200,5706.928667957194
heat,"(300, 300, 300)",27000000,True,8,200,6229.049054914835
heat,"(350, 350, 350)",42875000,True,8,200,5805.4710217290485
heat,"(400, 400, 400)",64000000,True,8,200,6258.0853974422025
heat,"(450, 450, 450)",91125000,True,8,200,0.0
maxwell,"(20, 20, 20)",8000,True,8,200,55.6366923986369
maxwell,"(30, 30, 30)",27000,True,8,200,211.18498240125146
maxwell,"(60, 60, 60)",216000,True,8,200,1140.1425178147267
maxwell,"(100, 100, 100)",1000000,True,8,200,2119.4972552510544
maxwell,"(150, 150, 150)",3375000,True,8,200,2523.1003857540145
maxwell,"(200, 200, 200)",8000000,True,8,200,2800.934111526194
maxwell,"(250, 250, 250)",15625000,True,8,200,2420.0080847630097
maxwell,"(300, 300, 300)",27000000,True,8,200,2435.2790762174704
maxwell,"(350, 350, 350)",42875000,True,8,200,2410.4439264683892
maxwell,"(400, 400, 400)",64000000,True,8,200,2404.3889114091635
maxwell,"(450, 450, 450)",91125000,True,8,200,0.0
burgers,"(20, 20, 20)",8000,True,8,200,19.164430816404753
burgers,"(30, 30, 30)",27000,True,8,200,63.255552431824576
burgers,"(60, 60, 60)",216000,True,8,200,187.92495182248052
burgers,"(100, 100, 100)",1000000,True,8,200,249.97812691389504
burgers,"(150, 150, 150)",3375000,True,8,200,272.45712735735964
burgers,"(200, 200, 200)",8000000,True,8,200,280.96462883606716
burgers,"(250, 250, 250)",15625000,True,8,200,275.0470858607227
