experiment,mesh_size,num_points,cuda,omp_threads,n_timesteps,mpts
euler,"(20, 20, 20)",8000,True,8,200,11.530035743110805
euler,"(30, 30, 30)",27000,True,8,200,37.75167785234899
euler,"(60, 60, 60)",216000,True,8,200,157.45563359490893
euler,"(100, 100, 100)",1000000,True,8,200,251.30174302888966
euler,"(150, 150, 150)",3375000,True,8,200,292.862485660585
euler,"(200, 200, 200)",8000000,True,8,200,307.6814796710039
euler,"(250, 250, 250)",15625000,True,8,200,298.32348881730826
euler,"(300, 300, 300)",27000000,True,8,200,299.5740556219149
euler,"(350, 350, 350)",42875000,True,8,200,295.88426539579865
euler,"(400, 400, 400)",64000000,True,8,200,0.0
wave,"(20, 20, 20)",8000,True,8,200,137.84785043508228
wave,"(30, 30, 30)",27000,True,8,200,477.62250132672915
wave,"(60, 60, 60)",216000,True,8,200,2726.412117387188
wave,"(100, 100, 100)",1000000,True,8,200,5264.404727435446
wave,"(150, 150, 150)",3375000,True,8,200,6375.5631747471025
wave,"(200, 200, 200)",8000000,True,8,200,7002.770471067616
wave,"(250, 250, 250)",15625000,True,8,200,6552.653982126457
wave,"(300, 300, 300)",27000000,True,8,200,6760.732663102675
wave,"(350, 350, 350)",42875000,True,8,200,6677.662420997218
wave,"(400, 400, 400)",64000000,True,8,200,6797.3131495616
wave,"(450, 450, 450)",91125000,True,8,200,6599.174641499158
heat,"(20, 20, 20)",8000,True,8,200,93.34889148191365
heat,"(30, 30, 30)",27000,True,8,200,423.42978122794636
heat,"(60, 60, 60)",216000,True,8,200,2495.0906780639943
heat,"(100, 100, 100)",1000000,True,8,200,5193.995740923492
heat,"(150, 150, 150)",3375000,True,8,200,6025.171828974381
heat,"(200, 200, 200)",8000000,True,8,200,6563.510165236369
heat,"(250, 250, 250)",15625000,True,8,200,6193.404668142513
heat,"(300, 300, 300)",27000000,True,8,200,6422.1187283253485
heat,"(350, 350, 350)",42875000,True,8,200,6319.710273527379
heat,"(400, 400, 400)",64000000,True,8,200,6444.184551376514
heat,"(450, 450, 450)",91125000,True,8,200,0.0
maxwell,"(20, 20, 20)",8000,True,8,200,60.7049360701142
maxwell,"(30, 30, 30)",27000,True,8,200,189.74665307986928
maxwell,"(60, 60, 60)",216000,True,8,200,1148.172757475083
maxwell,"(100, 100, 100)",1000000,True,8,200,2141.7174432177167
maxwell,"(150, 150, 150)",3375000,True,8,200,2608.988060497602
maxwell,"(200, 200, 200)",8000000,True,8,200,2843.0342994319262
maxwell,"(250, 250, 250)",15625000,True,8,200,2425.5962891869635
maxwell,"(300, 300, 300)",27000000,True,8,200,2472.458415767692
maxwell,"(350, 350, 350)",42875000,True,8,200,2434.204792842785
maxwell,"(400, 400, 400)",64000000,True,8,200,2433.6618016246216
maxwell,"(450, 450, 450)",91125000,True,8,200,0.0
burgers,"(20, 20, 20)",8000,True,8,200,19.679954736104108
burgers,"(30, 30, 30)",27000,True,8,200,63.794345930747696
burgers,"(60, 60, 60)",216000,True,8,200,187.49511731465327
burgers,"(100, 100, 100)",1000000,True,8,200,249.60250800600042
burgers,"(150, 150, 150)",3375000,True,8,200,271.9468128437861
burgers,"(200, 200, 200)",8000000,True,8,200,280.60851359215025
burgers,"(250, 250, 250)",15625000,True,8,200,274.48409068251675
burgers,"(300, 300, 300)",27000000,True,8,200,276.6901889194495
burgers,"(350, 350, 350)",42875000,True,8,200,270.5134019437342
burgers,"(400, 400, 400)",64000000,True,8,200,268.8828664728525
burgers,"(450, 450, 450)",91125000,True,8,200,0.0
elastic_wave,"(20, 20, 20)",8000,True,8,200,33.126293995859214
elastic_wave,"(30, 30, 30)",27000,True,8,200,110.05808621216754
elastic_wave,"(60, 60, 60)",216000,True,8,200,577.7641064048896
elastic_wave,"(100, 100, 100)",1000000,True,8,200,1066.0128454547878
elastic_wave,"(150, 150, 150)",3375000,True,8,200,1245.516141889199
elastic_wave,"(200, 200, 200)",8000000,True,8,200,1345.4660736524947
elastic_wave,"(250, 250, 250)",15625000,True,8,200,1151.105318953787
elastic_wave,"(300, 300, 300)",27000000,True,8,200,1162.069033786942
elastic_wave,"(350, 350, 350)",42875000,True,8,200,1151.987833933733
elastic_wave,"(400, 400, 400)",64000000,True,8,200,1145.198255290458
navier_stokes,"(20, 20, 20)",8000,True,8,200,42.92881865257171
navier_stokes,"(30, 30, 30)",27000,True,8,200,141.65792235047218
navier_stokes,"(60, 60, 60)",216000,True,8,200,658.4663221912296
navier_stokes,"(100, 100, 100)",1000000,True,8,200,1204.2099178728836
navier_stokes,"(150, 150, 150)",3375000,True,8,200,1387.7923615908417
navier_stokes,"(200, 200, 200)",8000000,True,8,200,1491.3436820157
navier_stokes,"(250, 250, 250)",15625000,True,8,200,1348.0833059402805
navier_stokes,"(300, 300, 300)",27000000,True,8,200,1362.5408257602978
navier_stokes,"(350, 350, 350)",42875000,True,8,200,1341.370187355392
navier_stokes,"(400, 400, 400)",64000000,True,8,200,1331.9558689721714
reaction_diffusion,"(20, 20, 3)",1200,True,8,200,12.725344644750797
reaction_diffusion,"(30, 30, 3)",2700,True,8,200,24.143789680765448
reaction_diffusion,"(60, 60, 3)",10800,True,8,200,115.34764498558155
reaction_diffusion,"(100, 100, 3)",30000,True,8,200,332.09719377871255
reaction_diffusion,"(150, 150, 3)",67500,True,8,200,715.080247894486
reaction_diffusion,"(200, 200, 3)",120000,True,8,200,1239.1573729863694
reaction_diffusion,"(250, 250, 3)",187500,True,8,200,1572.4589064072459
reaction_diffusion,"(300, 300, 3)",270000,True,8,200,1755.2984007281239
reaction_diffusion,"(350, 350, 3)",367500,True,8,200,1990.6291471440568
reaction_diffusion,"(400, 400, 3)",480000,True,8,200,2347.3030466037458
reaction_diffusion,"(450, 450, 3)",607500,True,8,200,2564.048453129616
phase_field,"(20, 20, 20)",8000,True,8,200,87.59923350670682
phase_field,"(30, 30, 30)",27000,True,8,200,308.6066979083324
phase_field,"(60, 60, 60)",216000,True,8,200,1625.2821670428893
phase_field,"(100, 100, 100)",1000000,True,8,200,2919.0262128553913
phase_field,"(150, 150, 150)",3375000,True,8,200,3325.6146228506673
phase_field,"(200, 200, 200)",8000000,True,8,200,3588.4979668916208
phase_field,"(250, 250, 250)",15625000,True,8,200,3317.6950459646746
phase_field,"(300, 300, 300)",27000000,True,8,200,3425.224494922105
phase_field,"(350, 350, 350)",42875000,True,8,200,3374.687521645226
phase_field,"(400, 400, 400)",64000000,True,8,200,3439.21456937272
phase_field,"(450, 450, 450)",91125000,True,8,200,0.0
