experiment,mesh_size,num_points,cuda,omp_threads,n_timesteps,mpts
euler,"(20, 20, 20)",8000,True,8,200,12.145410932388017
euler,"(30, 30, 30)",27000,True,8,200,30.63812403901255
euler,"(60, 60, 60)",216000,True,8,200,74.40873475869694
euler,"(100, 100, 100)",1000000,True,8,200,79.44048477761432
euler,"(150, 150, 150)",3375000,True,8,200,79.02625603453271
wave,"(20, 20, 20)",8000,True,8,200,53.28005328005328
wave,"(30, 30, 30)",27000,True,8,200,164.19861951530999
wave,"(60, 60, 60)",216000,True,8,200,806.0453400503778
wave,"(100, 100, 100)",1000000,True,8,200,1424.004442893862
wave,"(150, 150, 150)",3375000,True,8,200,1651.768126014002
wave,"(200, 200, 200)",8000000,True,8,200,1695.5331180006274
heat,"(20, 20, 20)",8000,True,8,200,48.64108956040616
heat,"(30, 30, 30)",27000,True,8,200,155.90264745792072
heat,"(60, 60, 60)",216000,True,8,200,790.0367586547429
heat,"(100, 100, 100)",1000000,True,8,200,1522.718966987453
heat,"(150, 150, 150)",3375000,True,8,200,1704.1280292453619
heat,"(200, 200, 200)",8000000,True,8,200,1689.7957459392094
maxwell,"(20, 20, 20)",8000,True,8,200,38.061707543354665
maxwell,"(30, 30, 30)",27000,True,8,200,116.82242990654204
maxwell,"(60, 60, 60)",216000,True,8,200,477.6066599595361
maxwell,"(100, 100, 100)",1000000,True,8,200,745.6398708551743
maxwell,"(150, 150, 150)",3375000,True,8,200,738.9049319441191
maxwell,"(200, 200, 200)",8000000,True,8,200,714.1151555320492
burgers,"(20, 20, 20)",8000,True,8,200,18.321519770064928
burgers,"(30, 30, 30)",27000,True,8,200,35.45680179647796
burgers,"(60, 60, 60)",216000,True,8,200,62.635747032776464
burgers,"(100, 100, 100)",1000000,True,8,200,66.90319175056885
burgers,"(150, 150, 150)",3375000,True,8,200,65.46178830549883
burgers,"(200, 200, 200)",8000000,True,8,200,65.45364159925828
elastic_wave,"(20, 20, 20)",8000,True,8,200,18.79279766029669
elastic_wave,"(30, 30, 30)",27000,True,8,200,39.5769662056683
elastic_wave,"(60, 60, 60)",216000,True,8,200,83.21438684288084
elastic_wave,"(100, 100, 100)",1000000,True,8,200,93.43397418138991
elastic_wave,"(150, 150, 150)",3375000,True,8,200,93.65853983422578
navier_stokes,"(20, 20, 20)",8000,True,8,200,30.786400107752396
navier_stokes,"(30, 30, 30)",27000,True,8,200,85.3633475078645
navier_stokes,"(60, 60, 60)",216000,True,8,200,302.1021273024798
navier_stokes,"(100, 100, 100)",1000000,True,8,200,403.5960407228405
navier_stokes,"(150, 150, 150)",3375000,True,8,200,392.9938797753123
reaction_diffusion,"(20, 20, 3)",1200,True,8,200,6.559348438055153
reaction_diffusion,"(30, 30, 3)",2700,True,8,200,14.971304998752393
reaction_diffusion,"(60, 60, 3)",10800,True,8,200,58.150491317808594
reaction_diffusion,"(100, 100, 3)",30000,True,8,200,140.15744352823003
reaction_diffusion,"(150, 150, 3)",67500,True,8,200,269.74104859335034
reaction_diffusion,"(200, 200, 3)",120000,True,8,200,395.432751717661
phase_field,"(20, 20, 20)",8000,True,8,200,43.7636761487965
phase_field,"(30, 30, 30)",27000,True,8,200,129.94200736338044
phase_field,"(60, 60, 60)",216000,True,8,200,535.5416160464137
phase_field,"(100, 100, 100)",1000000,True,8,200,839.2465244703305
phase_field,"(150, 150, 150)",3375000,True,8,200,903.5576074865437
phase_field,"(200, 200, 200)",8000000,True,8,200,884.7105973400071
