experiment,mesh_size,num_points,cuda,omp_threads,n_timesteps,mpts
euler,"(20, 20, 20)",8000,False,8,200,1.546723122060622
euler,"(30, 30, 30)",27000,False,8,200,1.616184350367218
euler,"(60, 60, 60)",216000,False,8,200,1.0678858495286545
euler,"(100, 100, 100)",1000000,False,8,200,0.9483714951147274
euler,"(150, 150, 150)",3375000,False,8,200,0.8720891540643992
wave,"(20, 20, 20)",8000,False,8,200,51.218028746118634
wave,"(30, 30, 30)",27000,False,8,200,65.90027092333601
wave,"(60, 60, 60)",216000,False,8,200,107.65147833887788
wave,"(100, 100, 100)",1000000,False,8,200,83.94726768433141
wave,"(150, 150, 150)",3375000,False,8,200,57.49001653923898
wave,"(200, 200, 200)",8000000,False,8,200,44.043635130414586
heat,"(20, 20, 20)",8000,False,8,200,50.41752008823066
heat,"(30, 30, 30)",27000,False,8,200,65.62237966192322
heat,"(60, 60, 60)",216000,False,8,200,114.91195403521839
heat,"(100, 100, 100)",1000000,False,8,200,92.00089056862072
heat,"(150, 150, 150)",3375000,False,8,200,63.03219011927931
heat,"(200, 200, 200)",8000000,False,8,200,48.13935090463769
maxwell,"(20, 20, 20)",8000,False,8,200,6.977575815722222
maxwell,"(30, 30, 30)",27000,False,8,200,6.944667716940487
maxwell,"(60, 60, 60)",216000,False,8,200,5.767000369515208
maxwell,"(100, 100, 100)",1000000,False,8,200,5.758916494415074
maxwell,"(150, 150, 150)",3375000,False,8,200,5.656985918345708
maxwell,"(200, 200, 200)",8000000,False,8,200,3.8475275799794573
burgers,"(20, 20, 20)",8000,False,8,200,1.3755028107540248
burgers,"(30, 30, 30)",27000,False,8,200,1.3480214415291956
burgers,"(60, 60, 60)",216000,False,8,200,1.2682649976299296
burgers,"(100, 100, 100)",1000000,False,8,200,1.4231084000453347
burgers,"(150, 150, 150)",3375000,False,8,200,1.3014880858068973
burgers,"(200, 200, 200)",8000000,False,8,200,1.1675637841244588
elastic_wave,"(20, 20, 20)",8000,False,8,200,5.296154329937175
elastic_wave,"(30, 30, 30)",27000,False,8,200,5.78572875003616
elastic_wave,"(60, 60, 60)",216000,False,8,200,3.6824086225643673
elastic_wave,"(100, 100, 100)",1000000,False,8,200,3.1916506928539055
elastic_wave,"(150, 150, 150)",3375000,False,8,200,2.9369729903824315
navier_stokes,"(20, 20, 20)",8000,False,8,200,7.230952090423056
navier_stokes,"(30, 30, 30)",27000,False,8,200,7.592405906891796
navier_stokes,"(60, 60, 60)",216000,False,8,200,4.639530496697181
navier_stokes,"(100, 100, 100)",1000000,False,8,200,3.5800333734291105
navier_stokes,"(150, 150, 150)",3375000,False,8,200,3.387703294506322
reaction_diffusion,"(20, 20, 3)",1200,False,8,200,7.615179591318695
reaction_diffusion,"(30, 30, 3)",2700,False,8,200,15.464803253336388
reaction_diffusion,"(60, 60, 3)",10800,False,8,200,35.22332566899858
reaction_diffusion,"(100, 100, 3)",30000,False,8,200,53.80876365397378
reaction_diffusion,"(150, 150, 3)",67500,False,8,200,51.672069906569234
reaction_diffusion,"(200, 200, 3)",120000,False,8,200,34.48662350090958
phase_field,"(20, 20, 20)",8000,False,8,200,37.64971645057298
phase_field,"(30, 30, 30)",27000,False,8,200,66.58692676671147
phase_field,"(60, 60, 60)",216000,False,8,200,41.25467696250982
phase_field,"(100, 100, 100)",1000000,False,8,200,29.055227158850595
phase_field,"(150, 150, 150)",3375000,False,8,200,26.077003420839258
phase_field,"(200, 200, 200)",8000000,False,8,200,24.590907960565648
