,experiment,mesh_size,num_points,cuda,omp_threads,n_timesteps,mpts
0,euler,"(20, 20, 20)",8000,True,8,200,3.9781005564368153
1,euler,"(30, 30, 30)",27000,True,8,200,11.12672515752558
2,euler,"(60, 60, 60)",216000,True,8,200,32.38140497819128
3,euler,"(100, 100, 100)",1000000,True,8,200,42.107780759944376
4,euler,"(150, 150, 150)",3375000,True,8,200,40.592823609748415
5,euler,"(200, 200, 200)",8000000,True,8,200,45.45887567074216
6,euler,"(250, 250, 250)",15625000,True,8,200,26.429801963904286
7,euler,"(300, 300, 300)",27000000,True,8,200,26.770759576379106
8,euler,"(350, 350, 350)",42875000,True,8,200,26.43390249383879
9,euler,"(400, 400, 400)",64000000,True,8,200,25.562794885811396
10,heat,"(20, 20, 20)",8000,True,8,200,32.64506651432302
11,heat,"(30, 30, 30)",27000,True,8,200,91.84923118791673
12,heat,"(60, 60, 60)",216000,True,8,200,266.6518526748514
13,heat,"(100, 100, 100)",1000000,True,8,200,353.1428833763285
14,heat,"(150, 150, 150)",3375000,True,8,200,376.32256474699415
15,heat,"(200, 200, 200)",8000000,True,8,200,370.18844674249203
16,heat,"(250, 250, 250)",15625000,True,8,200,186.81891800700024
17,heat,"(300, 300, 300)",27000000,True,8,200,185.15465625558036
18,heat,"(350, 350, 350)",42875000,True,8,200,187.5789896219053
19,heat,"(400, 400, 400)",64000000,True,8,200,188.24965092190706
20,heat,"(450, 450, 450)",91125000,True,8,200,186.5598420404727
21,wave,"(20, 20, 20)",8000,True,8,200,30.904736150815115
22,wave,"(30, 30, 30)",27000,True,8,200,89.67120557954168
23,wave,"(60, 60, 60)",216000,True,8,200,303.43044980754644
24,wave,"(100, 100, 100)",1000000,True,8,200,440.10888293763884
25,wave,"(150, 150, 150)",3375000,True,8,200,479.7052690826756
26,wave,"(200, 200, 200)",8000000,True,8,200,472.53159095184697
27,wave,"(250, 250, 250)",15625000,True,8,200,244.3887559587844
28,wave,"(300, 300, 300)",27000000,True,8,200,248.28142128975483
29,wave,"(350, 350, 350)",42875000,True,8,200,241.87750651736476
30,wave,"(400, 400, 400)",64000000,True,8,200,244.460314417599
31,wave,"(450, 450, 450)",91125000,True,8,200,241.76344124477146
