,experiment,mesh_size,num_points,cuda,omp_threads,n_timesteps,mpts
0,euler,"(20, 20, 20)",8000,True,8,200,2.226579514633498
1,euler,"(30, 30, 30)",27000,True,8,200,6.31752586968348
2,euler,"(60, 60, 60)",216000,True,8,200,18.1990597994986
3,euler,"(100, 100, 100)",1000000,True,8,200,23.909516824529252
4,euler,"(150, 150, 150)",3375000,True,8,200,22.97004131510735
5,euler,"(200, 200, 200)",8000000,True,8,200,24.989022010268116
6,euler,"(250, 250, 250)",15625000,True,8,200,13.64254568400692
7,euler,"(300, 300, 300)",27000000,True,8,200,13.698900153359189
8,euler,"(350, 350, 350)",42875000,True,8,200,13.6388316250592
9,euler,"(400, 400, 400)",64000000,True,8,200,13.072796288958319
10,heat,"(20, 20, 20)",8000,True,8,200,31.873144883364212
11,heat,"(30, 30, 30)",27000,True,8,200,88.54055649379396
12,heat,"(60, 60, 60)",216000,True,8,200,241.42305478403256
13,heat,"(100, 100, 100)",1000000,True,8,200,317.6145874027702
14,heat,"(150, 150, 150)",3375000,True,8,200,336.15973115189735
15,heat,"(200, 200, 200)",8000000,True,8,200,321.5184674179214
16,heat,"(250, 250, 250)",15625000,True,8,200,173.91477597189004
17,heat,"(300, 300, 300)",27000000,True,8,200,175.25022242985406
18,heat,"(350, 350, 350)",42875000,True,8,200,173.83872890905423
19,heat,"(400, 400, 400)",64000000,True,8,200,176.64438325372606
20,heat,"(450, 450, 450)",91125000,True,8,200,173.89444329633295
21,wave,"(20, 20, 20)",8000,True,8,200,28.93413866685956
22,wave,"(30, 30, 30)",27000,True,8,200,80.02252485884915
23,wave,"(60, 60, 60)",216000,True,8,200,233.92319521757022
24,wave,"(100, 100, 100)",1000000,True,8,200,329.8087768711701
25,wave,"(150, 150, 150)",3375000,True,8,200,341.23843770426913
26,wave,"(200, 200, 200)",8000000,True,8,200,336.2297424206986
27,wave,"(250, 250, 250)",15625000,True,8,200,170.08235578159184
28,wave,"(300, 300, 300)",27000000,True,8,200,175.1604623911836
29,wave,"(350, 350, 350)",42875000,True,8,200,172.0131289246325
30,wave,"(400, 400, 400)",64000000,True,8,200,171.6460538753247
31,wave,"(450, 450, 450)",91125000,True,8,200,172.63713285007566
