,experiment,mesh_size,num_points,cuda,omp_threads,n_timesteps,mpts
0,euler,"(20, 20, 20)",8000,True,8,200,4.889093959218845
1,euler,"(30, 30, 30)",27000,True,8,200,16.326431888544892
2,euler,"(60, 60, 60)",216000,True,8,200,93.8775332808894
3,euler,"(100, 100, 100)",1000000,True,8,200,192.68398189155
4,euler,"(150, 150, 150)",3375000,True,8,200,241.72815216196
5,euler,"(200, 200, 200)",8000000,True,8,200,262.34656210407
6,euler,"(250, 250, 250)",15625000,True,8,200,261.78328448806
7,euler,"(300, 300, 300)",27000000,True,8,200,264.50228042600
8,euler,"(350, 350, 350)",42875000,True,8,200,258.81413806712
9,euler,"(400, 400, 400)",64000000,True,8,200,258.24395923498
16,heat,"(20, 20, 20)",8000,True,8,200,38.26195088122056
17,heat,"(30, 30, 30)",27000,True,8,200,123.60373557956419
18,heat,"(60, 60, 60)",216000,True,8,200,587.3156141662702
19,heat,"(100, 100, 100)",1000000,True,8,200,1176.982921977802
20,heat,"(150, 150, 150)",3375000,True,8,200,1356.1978240559356
21,heat,"(200, 200, 200)",8000000,True,8,200,1486.758096094751
22,heat,"(250, 250, 250)",15625000,True,8,200,385.1466262449634
23,heat,"(300, 300, 300)",27000000,True,8,200,390.8480468925011
24,heat,"(350, 350, 350)",42875000,True,8,200,383.1062946397018
25,heat,"(400, 400, 400)",64000000,True,8,200,390.75965753335163
26,heat,"(450, 450, 450)",91125000,True,8,200,372.16486946600537
27,wave,"(20, 20, 20)",8000,True,8,200,36.57560864098755
28,wave,"(30, 30, 30)",27000,True,8,200,119.07649562283622
29,wave,"(60, 60, 60)",216000,True,8,200,669.2590125331144
30,wave,"(100, 100, 100)",1000000,True,8,200,1486.381033778009
31,wave,"(150, 150, 150)",3375000,True,8,200,1935.6725816997211
32,wave,"(200, 200, 200)",8000000,True,8,200,2072.308007139101
33,wave,"(250, 250, 250)",15625000,True,8,200,709.5966992967612
34,wave,"(300, 300, 300)",27000000,True,8,200,718.9301361001316
35,wave,"(350, 350, 350)",42875000,True,8,200,741.0909204046745
36,wave,"(400, 400, 400)",64000000,True,8,200,736.675172003581
37,wave,"(450, 450, 450)",91125000,True,8,200,734.42738902782
