,experiment,mesh_size,num_points,cuda,omp_threads,n_timesteps,mpts
0,euler,"(20, 20, 20)",8000,True,8,200,2.88560210793234
1,euler,"(30, 30, 30)",27000,True,8,200,9.291297667368102
2,euler,"(60, 60, 60)",216000,True,8,200,45.51325678958758
3,euler,"(100, 100, 100)",1000000,True,8,200,73.77141999286631
4,euler,"(150, 150, 150)",3375000,True,8,200,88.53977836460341
5,euler,"(200, 200, 200)",8000000,True,8,200,91.07624168651797
6,euler,"(250, 250, 250)",15625000,True,8,200,67.26957426216579
7,euler,"(300, 300, 300)",27000000,True,8,200,67.63846354420214
8,euler,"(350, 350, 350)",42875000,True,8,200,67.28383031380503
9,euler,"(400, 400, 400)",64000000,True,8,200,67.43597663939796
10,heat,"(20, 20, 20)",8000,True,8,200,40.701076034697664
11,heat,"(30, 30, 30)",27000,True,8,200,139.2254937348528
12,heat,"(60, 60, 60)",216000,True,8,200,878.3879953640633
13,heat,"(100, 100, 100)",1000000,True,8,200,2317.7119547582624
14,heat,"(150, 150, 150)",3375000,True,8,200,3351.1565213505905
15,heat,"(200, 200, 200)",8000000,True,8,200,3524.4542052245624
16,heat,"(250, 250, 250)",15625000,True,8,200,737.3688132396989
17,heat,"(300, 300, 300)",27000000,True,8,200,740.3500512144003
18,heat,"(350, 350, 350)",42875000,True,8,200,731.1962959770049
19,heat,"(400, 400, 400)",64000000,True,8,200,733.2976003523495
20,heat,"(450, 450, 450)",91125000,True,8,200,733.8911201147617
21,wave,"(20, 20, 20)",8000,True,8,200,39.14181569097537
22,wave,"(30, 30, 30)",27000,True,8,200,131.44442821673726
23,wave,"(60, 60, 60)",216000,True,8,200,904.1818410146928
24,wave,"(100, 100, 100)",1000000,True,8,200,2602.1337496747333
25,wave,"(150, 150, 150)",3375000,True,8,200,4280.550447079713
26,wave,"(200, 200, 200)",8000000,True,8,200,4927.094400049271
27,wave,"(250, 250, 250)",15625000,True,8,200,5124.227676404613
28,wave,"(300, 300, 300)",27000000,True,8,200,5304.4196621084675
29,wave,"(350, 350, 350)",42875000,True,8,200,5346.039971545974
30,wave,"(400, 400, 400)",64000000,True,8,200,5392.239051437748
31,wave,"(450, 450, 450)",91125000,True,8,200,5329.24187915648
