,experiment,mesh_size,num_points,cuda,omp_threads,n_timesteps,mpts
0,heat,"(30, 30, 30)",27000,True,8,200,110.4339645793284
1,heat,"(50, 50, 50)",125000,True,8,200,203.42072287588084
2,heat,"(70, 70, 70)",343000,True,8,200,201.66446677974773
3,heat,"(100, 100, 100)",1000000,True,8,200,235.34423212472302
4,heat,"(130, 130, 130)",2197000,True,8,200,230.0287509763396
5,heat,"(150, 150, 150)",3375000,True,8,200,207.53726139364193
6,wave,"(30, 30, 30)",27000,True,8,200,108.8512165131327
7,wave,"(50, 50, 50)",125000,True,8,200,201.16191119908592
8,wave,"(70, 70, 70)",343000,True,8,200,202.7480338465085
9,wave,"(100, 100, 100)",1000000,True,8,200,267.16109279573396
10,wave,"(130, 130, 130)",2197000,True,8,200,248.09734630696877
11,wave,"(150, 150, 150)",3375000,True,8,200,216.1213045658267
