,experiment,mesh_size,num_points,cuda,omp_threads,n_timesteps,mpts
0,heat,"(30, 30, 30)",27000,True,8,200,112.38059561715676
1,heat,"(50, 50, 50)",125000,True,8,200,204.77032959832252
2,heat,"(70, 70, 70)",343000,True,8,200,244.53974127267605
3,heat,"(100, 100, 100)",1000000,True,8,200,264.4439273096533
4,heat,"(130, 130, 130)",2197000,True,8,200,245.95536643375354
5,heat,"(150, 150, 150)",3375000,True,8,200,226.38160694719875
6,wave,"(30, 30, 30)",27000,True,8,200,108.73285947284698
7,wave,"(50, 50, 50)",125000,True,8,200,193.4280873057015
8,wave,"(70, 70, 70)",343000,True,8,200,229.71800942312652
9,wave,"(100, 100, 100)",1000000,True,8,200,296.9301872590226
10,wave,"(130, 130, 130)",2197000,True,8,200,279.47102761891193
11,wave,"(150, 150, 150)",3375000,True,8,200,268.70858653312183
